,Player,GA,PKA,FK,CK,OG,PSxG+/-,/90,Cmp%,Thr,Launch%_Passes,AvgLen_GK,Opp,Stp%,#OPA/90,AvgDist,Min,GA90,SoTA,Saves,Save%,Squad,Weekly Wages (USD),Annual Wages (USD),League,Age
100,Agustín Marchesín,29.0,2.0,1.0,4.0,1.0,-7.3,-0.38,38.6,75,39.8,42.9,253.0,5.5,1.32,18.1,1710,1.53,72.0,42.0,62.5,Celta Vigo,26495,1377760,La Liga,34.0
101,Federico Marchetti,2.0,0.0,0.0,0.0,0.0,-0.5,-0.74,50.0,2,10.0,32.4,8.0,0.0,1.36,22.0,66,2.73,3.0,1.0,33.3,Spezia,7780,404580,Serie A,39.0
102,Diego Mariño,2.0,0.0,0.0,0.0,0.0,-0.6,-1.25,66.7,1,33.3,45.6,12.0,0.0,0.0,7.0,45,4.0,5.0,3.0,60.0,Almería,7991,415515,La Liga,32.0
103,Emiliano Martínez,38.0,4.0,1.0,6.0,4.0,2.6,0.07,38.0,135,35.5,40.7,483.0,12.4,2.09,16.6,3139,1.09,132.0,97.0,74.2,Aston Villa,152521,7931085,Premier League,29.0
104,Jordi Masip,42.0,5.0,0.0,0.0,1.0,4.8,0.17,34.2,121,36.8,41.9,396.0,3.8,0.5,12.7,2507,1.51,145.0,101.0,74.5,Valladolid,10093,524861,La Liga,33.0
105,Alex McCarthy,17.0,1.0,0.0,1.0,1.0,-5.1,-0.84,19.5,29,48.5,31.0,92.0,6.5,1.17,13.5,540,2.83,30.0,14.0,46.7,Southampton,63550,3304619,Premier League,32.0
106,Edouard Mendy,14.0,0.0,0.0,4.0,0.0,-2.1,-0.22,35.1,47,22.1,34.4,128.0,7.0,1.16,13.7,855,1.47,39.0,25.0,64.1,Chelsea,69905,3635081,Premier League,30.0
107,Alex Meret,24.0,1.0,0.0,1.0,0.0,1.0,0.03,38.6,121,14.3,26.9,335.0,3.3,1.15,17.0,3060,0.71,91.0,66.0,74.7,Napoli,58458,3039820,Serie A,25.0
108,Illan Meslier,67.0,3.0,1.0,7.0,1.0,-12.4,-0.36,23.6,194,39.4,43.5,432.0,7.9,1.94,15.8,3060,1.97,158.0,92.0,59.5,Leeds United,38130,1982771,Premier League,22.0
109,Alexander Meyer,12.0,0.0,0.0,2.0,0.0,-4.1,-0.58,40.0,35,16.2,35.0,91.0,8.8,2.57,19.8,630,1.71,32.0,20.0,62.5,Dortmund,11986,623273,Bundesliga,31.0
110,Vanja Milinković-Savić,41.0,5.0,0.0,6.0,0.0,-5.2,-0.14,30.4,185,45.0,70.0,469.0,7.7,1.84,16.2,3420,1.08,136.0,95.0,73.5,Torino,15561,809161,Serie A,25.0
111,Lorenzo Montipò,59.0,1.0,1.0,4.0,3.0,-6.4,-0.17,46.5,124,62.9,52.1,496.0,5.2,1.49,15.3,3330,1.59,181.0,124.0,68.0,Hellas Verona,10514,546730,Serie A,26.0
112,Florian Müller,34.0,1.0,2.0,3.0,0.0,-6.8,-0.36,46.2,98,26.9,36.6,260.0,2.3,1.47,18.9,1710,1.79,87.0,53.0,62.1,Stuttgart,5678,295234,Bundesliga,24.0
113,Juan Musso,27.0,2.0,0.0,3.0,2.0,-3.3,-0.14,39.5,152,32.5,48.6,253.0,5.5,1.04,15.6,2077,1.17,89.0,64.0,71.9,Atalanta,62243,3236643,Serie A,28.0
114,Yvon Mvogo,29.0,1.0,0.0,4.0,1.0,-0.9,-0.04,37.7,85,34.0,36.6,381.0,5.5,0.35,8.5,1812,1.44,98.0,70.0,71.4,Lorient,15140,787292,Ligue 1,28.0
115,Keylor Navas,32.0,4.0,1.0,3.0,0.0,-2.7,-0.16,33.1,65,56.3,48.1,295.0,4.7,0.53,9.2,1529,1.88,83.0,51.0,66.3,Nott'ham Forest,114391,5948314,Premier League,35.0
116,Keylor Navas,32.0,4.0,1.0,3.0,0.0,-2.7,-0.16,33.1,65,56.3,48.1,295.0,4.7,0.53,9.2,1529,1.88,83.0,51.0,66.3,Paris S-G,344020,17889015,Ligue 1,35.0
117,Neto,39.0,4.0,0.0,8.0,1.0,1.7,0.06,36.6,136,47.4,44.6,510.0,6.9,0.94,12.1,2385,1.47,138.0,100.0,74.6,Bournemouth,63550,3304619,Premier League,33.0
118,Manuel Neuer,11.0,2.0,0.0,0.0,0.0,3.7,0.31,49.4,81,16.6,23.8,103.0,3.9,1.92,19.5,1080,0.92,44.0,33.0,79.5,Bayern Munich,441590,22962673,Bundesliga,36.0
119,Alexander Nübel,58.0,5.0,1.0,4.0,3.0,-5.5,-0.14,42.5,203,32.2,45.6,454.0,7.9,0.87,12.7,3420,1.53,195.0,140.0,72.8,Monaco,105140,5467303,Ligue 1,25.0
120,Ørjan Nyland,2.0,0.0,0.0,1.0,1.0,0.8,0.39,33.3,9,32.5,36.7,28.0,0.0,0.0,12.5,180,1.0,5.0,4.0,60.0,RB Leipzig,19977,1038788,Bundesliga,31.0
121,Jan Oblak,20.0,1.0,1.0,1.0,0.0,1.9,0.07,32.1,115,40.4,46.0,358.0,7.0,0.69,14.2,2492,0.72,79.0,59.0,75.9,Atlético Madrid,438015,22776784,La Liga,29.0
122,Guillermo Ochoa,33.0,3.0,1.0,6.0,0.0,1.8,0.09,31.4,45,53.6,47.3,311.0,3.5,0.5,12.3,1800,1.65,105.0,71.0,71.4,Salernitana,31122,1618322,Serie A,37.0
123,Jan Olschowsky,11.0,1.0,0.0,1.0,0.0,0.4,0.09,29.7,25,28.5,20.9,59.0,10.2,1.0,12.9,360,2.75,31.0,20.0,67.7,M'Gladbach,7570,393646,Bundesliga,20.0
124,Robin Olsen,8.0,1.0,0.0,3.0,0.0,-1.8,-0.57,24.2,18,44.6,46.8,45.0,11.1,0.96,14.2,281,2.56,19.0,11.0,63.2,Aston Villa,63550,3304619,Premier League,32.0
125,Jonas Omlin,26.0,3.0,0.0,2.0,2.0,0.1,0.0,32.9,77,32.1,47.3,209.0,6.7,0.93,12.0,1166,2.01,73.0,48.0,68.5,M'Gladbach,43738,2274398,Bundesliga,28.0
126,Jonas Omlin,26.0,3.0,0.0,2.0,2.0,0.1,0.0,32.9,77,32.1,47.3,209.0,6.7,0.93,12.0,1166,2.01,73.0,48.0,68.5,Montpellier,17664,918507,Ligue 1,28.0
127,André Onana,24.0,2.0,0.0,5.0,2.0,-2.7,-0.11,38.9,115,25.5,35.4,283.0,5.3,0.42,12.5,2160,1.0,83.0,61.0,73.5,Inter,80958,4209823,Serie A,26.0
128,Stefan Ortega,1.0,0.0,0.0,0.0,0.0,3.1,1.02,45.8,16,14.8,20.3,26.0,3.8,2.33,21.1,270,0.33,15.0,14.0,93.3,Manchester City,69905,3635081,Premier League,29.0
129,Fernando Pacheco,2.0,0.0,0.0,1.0,0.0,-0.4,-0.42,25.0,8,42.3,36.0,16.0,6.3,2.0,14.5,90,2.0,5.0,3.0,60.0,Almería,17874,929442,La Liga,30.0
130,Rui Patrício,35.0,2.0,1.0,4.0,1.0,-6.4,-0.18,41.2,121,37.6,34.8,402.0,4.0,0.71,13.8,3150,1.0,108.0,73.0,69.4,Roma,80958,4209823,Serie A,34.0
131,Jiří Pavlenka,61.0,2.0,0.0,5.0,2.0,-7.1,-0.22,39.8,152,40.1,42.9,481.0,4.6,1.18,14.9,2908,1.89,170.0,110.0,65.3,Werder Bremen,54673,2842998,Bundesliga,30.0
132,Gianluca Pegolo,3.0,1.0,0.0,0.0,0.0,0.2,0.12,50.0,10,21.3,28.3,28.0,7.1,0.0,9.0,180,1.5,6.0,3.0,66.7,Sassuolo,19556,1016918,Serie A,41.0
133,Iñaki Peña,2.0,0.0,0.0,0.0,0.0,-0.6,-0.7,33.3,5,13.0,22.8,7.0,0.0,2.47,16.5,73,2.47,4.0,2.0,50.0,Barcelona,42056,2186921,La Liga,23.0
134,Patrick Pentz,14.0,2.0,0.0,2.0,1.0,-1.1,-0.16,30.9,25,44.7,38.7,103.0,7.8,0.57,12.2,630,2.0,29.0,16.0,58.6,Leverkusen,7991,415515,Bundesliga,25.0
135,Patrick Pentz,14.0,2.0,0.0,2.0,1.0,-1.1,-0.16,30.9,25,44.7,38.7,103.0,7.8,0.57,12.2,630,2.0,29.0,16.0,58.6,Reims,10935,568600,Ligue 1,25.0
136,Simone Perilli,0.0,0.0,0.0,0.0,0.0,0.8,0.75,20.0,0,81.0,69.8,19.0,5.3,1.0,12.0,90,0.0,4.0,4.0,100.0,Hellas Verona,9673,502992,Serie A,27.0
137,Mattia Perin,7.0,1.0,0.0,1.0,0.0,4.2,0.39,29.9,54,28.6,35.9,154.0,2.6,1.04,15.7,948,0.66,40.0,32.0,85.0,Juventus,58458,3039820,Serie A,29.0
138,Samuele Perisan,9.0,0.0,0.0,2.0,0.0,-1.5,-0.22,33.3,39,32.0,34.3,134.0,3.7,0.57,11.6,630,1.29,24.0,15.0,62.5,Empoli,7780,404580,Serie A,24.0
139,Jordan Pickford,57.0,5.0,2.0,4.0,0.0,3.0,0.08,33.7,151,58.1,52.7,566.0,3.9,1.41,16.2,3330,1.54,181.0,123.0,71.3,Everton,127101,6609237,Premier League,28.0
140,Nick Pope,32.0,2.0,0.0,8.0,1.0,0.3,0.01,32.6,232,33.1,50.7,411.0,8.3,2.04,18.2,3261,0.88,118.0,85.0,74.6,Newcastle Utd,76260,3965542,Premier League,30.0
141,Ivan Provedel,30.0,1.0,0.0,5.0,1.0,2.4,0.06,42.4,166,27.4,33.2,493.0,4.3,1.45,16.5,3413,0.79,128.0,99.0,77.3,Lazio,38902,2022902,Serie A,28.0
142,Ghjuvanni Quilichini,0.0,0.0,0.0,0.0,0.0,0.8,0.93,25.0,2,61.5,61.0,25.0,8.0,0.0,7.5,82,0.0,4.0,4.0,100.0,Ajaccio,1893,98411,Ligue 1,19.0
143,Ionuț Radu,19.0,3.0,0.0,3.0,0.0,2.0,0.22,26.6,34,41.1,46.3,107.0,5.6,1.0,14.5,810,2.11,64.0,45.0,75.0,Cremonese,38902,2022902,Serie A,25.0
144,Ionuț Radu,19.0,3.0,0.0,3.0,0.0,2.0,0.22,26.6,34,41.1,46.3,107.0,5.6,1.0,14.5,810,2.11,64.0,45.0,75.0,Auxerre,38271,1990098,Ligue 1,25.0
145,Predrag Rajković,40.0,6.0,0.0,3.0,0.0,-0.8,-0.02,41.1,125,61.8,54.0,608.0,5.3,0.53,11.7,3240,1.11,133.0,92.0,74.4,Mallorca,17664,918507,La Liga,26.0
146,Diant Ramaj,1.0,0.0,0.0,1.0,0.0,0.0,0.01,33.3,7,9.5,22.0,15.0,6.7,1.0,11.5,90,1.0,5.0,4.0,80.0,Eint Frankfurt,4206,218692,Bundesliga,20.0
147,Aaron Ramsdale,43.0,3.0,0.0,6.0,1.0,-2.0,-0.05,25.4,174,35.4,49.2,381.0,5.8,1.13,16.1,3420,1.13,136.0,94.0,70.6,Arsenal,76260,3965542,Premier League,24.0
148,Nicola Ravaglia,23.0,2.0,0.0,3.0,0.0,-5.1,-0.57,33.8,45,42.5,37.6,155.0,6.5,0.11,10.5,810,2.56,64.0,41.0,67.2,Sampdoria,3995,207758,Serie A,33.0
149,David Raya,46.0,2.0,0.0,9.0,3.0,5.0,0.13,39.3,160,50.7,51.8,598.0,8.7,1.42,15.8,3420,1.21,197.0,154.0,77.7,Brentford,31775,1652309,Premier League,26.0
150,Pepe Reina,27.0,4.0,0.0,3.0,1.0,2.9,0.13,30.9,112,22.1,35.7,315.0,4.8,0.91,14.6,1980,1.23,87.0,61.0,73.6,Villarreal,52570,2733652,La Liga,39.0
151,Álex Remiro,35.0,1.0,1.0,3.0,2.0,-0.2,0.0,42.7,138,39.8,51.3,453.0,4.0,1.24,15.9,3420,0.92,133.0,99.0,74.4,Real Sociedad,58879,3061690,La Liga,27.0
